Timestamp,Age in years,Gender,Where do you live?,Occupation,Please indicate the highest level of education completed.,What is your current marital status?,Smartphone platform you use or prefer for mobile banking,Your monthly income,How often do you use mobile banking app?,What is the main benefits from mobile banking for you?,How convenient mobile banking to you?,Rate how secure mobile banking as you think?,Where did you hear about mobile banking ?,"Other than mobile banking, How do you typically make transactions ?",How much confidence do you have on mobile banking ( reliability ),How do you rate mobile banking user interface you currently have? ,Do you recommend mobile banking to your friend or family member?,Did you ever faced a unauthorized transaction on your mobile banking account?,"If so, did you able to resolve it through the customer support of the bank?",Rate the bill payment service provided through mobile banking app.,Rate the balance inquiry service provided through mobile banking app.
12/7/2020 9:25:04,50 - 60,Female,North Central Province,Private,Graduate,Married,Android,"140,000 - 190,000",Twice a month,"Reduce time for transaction, Easy of use",4,8,From the bank itself,At Bank,4,4,Yes,No,I didn't face such situation,4,4
12/7/2020 1:55:01,30 - 40,Female,Western Province,Private,Post Graduate,Single,iOS,"140,000 - 190,000",Rarely,Reduce time for transaction,1,2,Friend or family,ATM,1,2,Maybe,No,I didn't face such situation,2,2
12/7/2020 7:11:50,20 - 30,Female,Western Province,Private,Graduate,Single,iOS,"140,000 - 190,000",Twice a month,"Reduce time for transaction, Easy of use",5,8,TV / Radio / Newspaper,At Bank,4,4,Yes,No,I didn't face such situation,4,3
12/7/2020 7:26:14,20 - 30,Female,Western Province,Private,Graduate,Single,iOS,"140,000 - 190,000",Twice a month,"Reduce time for transaction, Easy of use",5,8,TV / Radio / Newspaper,At Bank,4,4,Yes,No,I didn't face such situation,4,3
12/7/2020 8:17:56,50 - 60,Female,Western Province,Government,Post Graduate,Married,Android,"140,000 - 190,000",Twice a month,"Reduce time for transaction, Easy of use",4,7,From the bank itself,At Bank,3,4,Yes,Yes,Yes,3,4
12/7/2020 19:28:27,30 - 40,Female,Western Province,Private,Post Graduate,Single,iOS,"140,000 - 190,000",Rarely,Reduce time for transaction,1,2,Friend or family,ATM,1,2,Maybe,No,I didn't face such situation,2,2
12/7/2020 6:57:59,20 - 30,Female,Western Province,Private,Graduate,Single,Android,"190,000 - 240,000",Twice a month,"Reduce time for transaction, Easy of use",4,7,From the bank itself,ATM,4,3,Yes,No,I didn't face such situation,4,2
12/7/2020 8:42:06,20 - 30,Female,Central Province,Private,Graduate,Single,iOS,"40,000 - 90,000",Once a month,"Reduce time for transaction, Easy of use",3,5,From the bank itself,ATM,3,4,Maybe,No,I didn't face such situation,4,4
12/9/2020 15:18:44,20 - 30,Female,Central Province,Private,Graduate,Married,iOS,"40,000 - 90,000",Rarely,Easy of use,3,7,Friend or family,Online Banking,3,3,Maybe,No,I didn't face such situation,3,3
12/11/2020 14:29:53,20 - 30,Female,Central Province,Private,Graduate,Married,iOS,"40,000 - 90,000",Rarely,Easy of use,3,7,Friend or family,Online Banking,3,3,Maybe,No,I didn't face such situation,3,3
12/6/2020 23:41:05,20 - 30,Female,North Central Province,Private,Graduate,Single,Android,"40,000 - 90,000",Once a week,"Reduce time for transaction, Easy of use",5,8,TV / Radio / Newspaper,ATM,5,5,Yes,No,I didn't face such situation,5,5
12/7/2020 9:47:39,20 - 30,Female,North Western Province,Private,Graduate,Single,iOS,"40,000 - 90,000",Twice a week,Easy of use,5,9,From the bank itself,ATM,5,4,Yes,No,I didn't face such situation,4,5
12/6/2020 20:18:16,20 - 30,Female,Southern Province,Government,Graduate,Single,Android,"40,000 - 90,000",Once a week,"Reduce time for transaction, Easy of use",5,8,Friend or family,Online Banking,4,4,Yes,No,I didn't face such situation,5,3
12/6/2020 22:45:13,20 - 30,Female,Southern Province,Government,Post Graduate,Single,iOS,"40,000 - 90,000",Twice a month,"Reduce time for transaction, Cost effective, Easy of use",5,8,Friend or family,At Bank,4,5,Yes,No,Yes,5,5
12/7/2020 5:30:20,20 - 30,Female,Southern Province,Self-Employed,Graduate,Single,Android,"40,000 - 90,000",Twice a week,"Cost effective, Easy of use",4,8,From the bank itself,ATM,3,3,Yes,No,I didn't face such situation,3,4
12/7/2020 6:32:49,20 - 30,Female,Southern Province,Private,Graduate,Single,Android,"40,000 - 90,000",Using online banking,"Reduce time for transaction, Easy of use",5,6,TV / Radio / Newspaper,Online Banking,4,4,Yes,No,I didn't face such situation,3,4
12/7/2020 11:04:50,20 - 30,Female,Southern Province,Private,Graduate,Married,iOS,"40,000 - 90,000",Everyday,Easy of use,5,5,From the bank itself,ATM,5,4,Yes,Yes,Yes,5,5
12/6/2020 22:50:41,20 - 30,Female,Western Province,Government,Diploma,Single,Android,"40,000 - 90,000",Rarely,"Reduce time for transaction, Cost effective, Easy of use",3,6,From the bank itself,ATM,3,3,Yes,Yes,Yes,3,3
12/6/2020 23:00:06,20 - 30,Female,Western Province,Private,Graduate,Single,Android,"40,000 - 90,000",Rarely,"Reduce time for transaction, Cost effective",4,8,From the bank itself,ATM,4,5,Yes,No,No,4,4
12/6/2020 23:24:41,20 - 30,Female,Western Province,Government,Post Graduate,Single,Android,"40,000 - 90,000",Rarely,Reduce time for transaction,3,7,Friend or family,ATM,4,2,Yes,No,No,3,3
12/7/2020 6:37:13,20 - 30,Female,Western Province,Private,Graduate,Married,iOS,"40,000 - 90,000",Regular ,"Reduce time for transaction, Cost effective, Easy of use, Save ample amount of time and save transactions during Covid-19",5,9,All of above ,ATM,5,4,Yes,No,I didn't face such situation,4,4
12/7/2020 9:01:39,20 - 30,Female,Western Province,Government,Graduate,Married,Android,"40,000 - 90,000",Twice a month,Easy of use,4,8,Friend or family,At Bank,4,4,Yes,No,I didn't face such situation,4,4
12/7/2020 9:11:08,20 - 30,Female,Western Province,Private,Graduate,Married,Android,"40,000 - 90,000",Once a week,"Reduce time for transaction, Cost effective",5,10,From the bank itself,Online Banking,5,4,Yes,No,I didn't face such situation,3,5
12/7/2020 9:42:35,20 - 30,Female,Western Province,Private,Graduate,Married,iOS,"40,000 - 90,000",Twice a week,"Reduce time for transaction, Easy of use",5,7,From the bank itself,ATM,4,4,Yes,No,I didn't face such situation,5,4
12/7/2020 9:52:48,20 - 30,Female,Western Province,Private,Graduate,Married,Android,"40,000 - 90,000",Rarely,Easy of use,1,1,From the bank itself,ATM,5,4,Yes,No,Yes,5,5
12/7/2020 10:50:21,20 - 30,Female,Western Province,Private,Graduate,Single,Android,"40,000 - 90,000",Rarely,Reduce time for transaction,4,8,From the bank itself,ATM,4,5,Yes,No,Yes,1,2
12/6/2020 22:56:31,20 - 30,Female,Central Province,Private,Graduate,Single,Android,"90,000 - 140,000",Twice a month,"Reduce time for transaction, Easy of use",5,5,Friend or family,ATM,3,2,Yes,No,I didn't face such situation,4,4
12/6/2020 23:05:05,20 - 30,Female,Central Province,Private,Graduate,Single,Android,"90,000 - 140,000",Rarely,"Reduce time for transaction, Easy of use",5,6,Friend or family,ATM,4,3,Yes,No,I didn't face such situation,3,3
12/7/2020 8:19:59,20 - 30,Female,Central Province,Student,AL,Single,Android,"90,000 - 140,000",I don't have mobile banking but my parents useit once or twice a week,"Reduce time for transaction, Easy of use",5,10,Friend or family,ATM,5,5,Yes,No,I didn't face such situation,5,5
12/7/2020 9:25:29,20 - 30,Female,Sabaragamuwa Province,Private,Graduate,Single,Android,"90,000 - 140,000",Once a week,"Reduce time for transaction, Cost effective",4,8,Friend or family,ATM,4,3,Yes,No,I didn't face such situation,5,5
12/7/2020 9:20:46,30 - 40,Female,Southern Province,Self-Employed,Diploma,Married,Android,"90,000 - 140,000",Everyday,Easy of use,4,8,From the bank itself,At Bank,4,4,Yes,Yes,Yes,4,4
12/6/2020 21:18:43,20 - 30,Female,Western Province,Private,Graduate,Married,Android,"90,000 - 140,000",Twice a week,"Reduce time for transaction, Cost effective, Easy of use",4,4,From the bank itself,ATM,4,2,Yes,No,I didn't face such situation,3,5
12/6/2020 21:32:31,20 - 30,Female,Western Province,Private,Graduate,Married,Android,"90,000 - 140,000",Everyday,"Reduce time for transaction, Cost effective",5,10,From the bank itself,ATM,4,4,Yes,No,I didn't face such situation,4,4
12/7/2020 7:27:29,20 - 30,Female,Western Province,Private,Graduate,Single,iOS,"90,000 - 140,000",Twice a week,"Reduce time for transaction, Easy of use",3,8,Social media,ATM,4,4,Yes,No,I didn't face such situation,3,3
12/7/2020 8:21:10,40 - 50,Female,Western Province,Government,Diploma,Married,Android,"90,000 - 140,000",Once a month,Easy of use,4,6,Friend or family,At Bank,3,4,Maybe,No,I didn't face such situation,4,3
12/7/2020 9:34:14,20 - 30,Female,Western Province,Private,Graduate,Single,Android,"90,000 - 140,000",Everyday,Reduce time for transaction,4,8,Friend or family,ATM,4,5,Yes,No,I didn't face such situation,4,4
12/6/2020 23:00:30,20 - 30,Female,Central Province,Student,AL,Single,Android,"Below 40,000",Rarely,Reduce time for transaction,3,4,From the bank itself,ATM,3,2,Yes,No,I didn't face such situation,5,5
12/6/2020 23:15:04,20 - 30,Female,Central Province,Student,AL,Single,Android,"Below 40,000",Once a month,"Reduce time for transaction, Easy of use",5,8,Friend or family,ATM,4,4,Yes,No,I didn't face such situation,3,3
12/7/2020 9:23:38,40 - 50,Female,Central Province,Unemployed,Diploma,Married,Android,"Below 40,000",Rarely,Easy of use,4,6,Friend or family,At Bank,3,4,Maybe,No,I didn't face such situation,4,4
12/7/2020 9:52:40,20 - 30,Female,North Western Province,Government,Graduate,Single,iOS,"Below 40,000",Everyday,"Reduce time for transaction, Easy of use",4,8,From the bank itself,Online Banking,4,4,Yes,Yes,Yes,4,4
12/6/2020 22:53:48,20 - 30,Female,Southern Province,Student,Post Graduate,Single,Android,"Below 40,000",Rarely,Easy of use,4,6,Social media,ATM,3,5,Maybe,No,Yes,3,3
12/6/2020 22:58:22,20 - 30,Female,Southern Province,Student,AL,Single,Android,"Below 40,000",Rarely,Reduce time for transaction,4,10,Friend or family,Online Banking,4,5,Yes,No,No,4,4
12/7/2020 5:34:29,20 - 30,Female,Southern Province,Student,AL,Single,Android,"Below 40,000",Rarely,Easy of use,3,7,From the bank itself,ATM,3,3,Yes,No,I didn't face such situation,3,3
12/8/2020 9:28:39,20 - 30,Female,Southern Province,Student,Graduate,Single,iOS,"Below 40,000",Once a month,Easy of use,5,8,Social media,Online Banking,5,5,Yes,No,I didn't face such situation,5,5
12/6/2020 21:12:39,20 - 30,Female,Western Province,Unemployed,Graduate,Single,Android,"Below 40,000",Rarely,"Reduce time for transaction, Easy of use",3,5,Friend or family,ATM,3,4,Yes,No,I didn't face such situation,4,3
12/7/2020 8:14:07,20 - 30,Female,Western Province,Student,AL,Single,Android,"Below 40,000",Rarely,Reduce time for transaction,3,5,TV / Radio / Newspaper,ATM,3,2,Yes,No,I didn't face such situation,3,3
12/7/2020 8:14:27,20 - 30,Female,Western Province,Student,AL,Single,Android,"Below 40,000",Once a month,Reduce time for transaction,3,7,Friend or family,ATM,4,3,Yes,No,I didn't face such situation,4,4
12/6/2020 20:25:29,20 - 30,Male,Central Province,Private,Graduate,Single,Android,"140,000 - 190,000",Twice a week,"Reduce time for transaction, Easy of use",5,8,Friend or family,Online Banking,3,4,Maybe,No,I didn't face such situation,5,5
12/7/2020 9:05:58,50 - 60,Male,Central Province,Private,Post Graduate,Married,iOS,"140,000 - 190,000",Twice a week,"Reduce time for transaction, Cost effective, Easy of use",4,8,Friend or family,Online Banking,4,3,Yes,Yes,Yes,3,4
12/6/2020 20:00:42,20 - 30,Male,Southern Province,Private,Graduate,Single,Android,"140,000 - 190,000",Twice a week,"Reduce time for transaction, Cost effective, Easy of use",5,8,From the bank itself,Online Banking,4,4,Yes,No,I didn't face such situation,4,5
12/6/2020 20:37:30,20 - 30,Male,Southern Province,Private,Graduate,Single,Android,"140,000 - 190,000",Everyday,"Reduce time for transaction, Cost effective, Easy of use",4,8,From the bank itself,ATM,3,4,Yes,No,Yes,4,4
12/6/2020 22:53:22,20 - 30,Male,Southern Province,Self-Employed,Graduate,Single,iOS,"140,000 - 190,000",Twice a week,Easy of use,4,9,From the bank itself,Online Banking,4,4,Maybe,No,I didn't face such situation,5,5
12/7/2020 8:23:40,20 - 30,Male,Southern Province,Private,Graduate,Single,Android,"140,000 - 190,000",Once a week,"Reduce time for transaction, Cost effective, Easy of use, No need to travel to the bank",4,8,Friend or family,Online Banking,4,3,Yes,No,I didn't face such situation,3,5
12/7/2020 9:11:49,20 - 30,Male,Southern Province,Private,Graduate,Single,iOS,"140,000 - 190,000",Once a week,Easy of use,5,8,From the bank itself,ATM,4,3,Yes,No,I didn't face such situation,4,4
12/7/2020 11:18:11,20 - 30,Male,Southern Province,Self-Employed,Graduate,Single,iOS,"140,000 - 190,000",Twice a week,Easy of use,4,9,From the bank itself,Online Banking,4,4,Maybe,No,I didn't face such situation,5,5
12/6/2020 22:45:14,20 - 30,Male,Western Province,Private,Graduate,Single,Android,"140,000 - 190,000",Twice a week,"Reduce time for transaction, Cost effective, Easy of use",5,8,From the bank itself,ATM,4,4,Yes,No,I didn't face such situation,5,5
12/7/2020 8:19:23,50 - 60,Male,Western Province,Government,Post Graduate,Married,Android,"140,000 - 190,000",Twice a week,"Reduce time for transaction, Cost effective, Easy of use",4,7,From the bank itself,Online Banking,4,4,Yes,Yes,Yes,4,4
12/7/2020 9:00:20,20 - 30,Male,Western Province,Private,Post Graduate,Single,Android,"140,000 - 190,000",Twice a week,"Reduce time for transaction, Easy of use",4,8,Social media,Online Banking,4,3,Yes,No,I didn't face such situation,4,4
12/7/2020 9:30:04,20 - 30,Male,Western Province,Private,Graduate,Single,Android,"140,000 - 190,000",Twice a week,Easy of use,5,10,Social media,ATM,5,5,Yes,No,I didn't face such situation,5,5
12/7/2020 9:38:30,40 - 50,Male,Central Province,Government,Post Graduate,Married,iOS,"190,000 - 240,000",Once a month,Reduce time for transaction,4,8,Friend or family,Online Banking,4,4,Yes,No,I didn't face such situation,4,4
12/6/2020 22:33:08,20 - 30,Male,Southern Province,Private,Graduate,Single,Android,"190,000 - 240,000",Everyday,"Reduce time for transaction, Easy of use",5,6,From the bank itself,ATM,4,3,Maybe,No,Yes,4,5
12/6/2020 20:17:30,20 - 30,Male,Sabaragamuwa Province,Private,Post Graduate,Single,Android,"40,000 - 90,000",Twice a week,"Reduce time for transaction, Cost effective, Easy of use",5,10,From the bank itself,ATM,5,4,Yes,No,I didn't face such situation,5,5
12/6/2020 20:35:30,20 - 30,Male,Sabaragamuwa Province,Private,Graduate,Single,iOS,"40,000 - 90,000",Rarely,"Reduce time for transaction, Easy of use",4,7,From the bank itself,Online Banking,4,4,Yes,No,Yes,4,4
12/6/2020 22:54:17,20 - 30,Male,Sabaragamuwa Province,Private,Post Graduate,Single,iOS,"40,000 - 90,000",Everyday,"Reduce time for transaction, Cost effective, Easy of use",5,9,From the bank itself,ATM,4,5,Yes,No,I didn't face such situation,4,4
12/7/2020 9:33:27,40 - 50,Male,Sabaragamuwa Province,Government,Graduate,Married,Android,"40,000 - 90,000",Twice a week,Easy of use,4,8,From the bank itself,Online Banking,4,4,Yes,Yes,Yes,4,4
12/6/2020 22:35:54,20 - 30,Male,Southern Province,Private,Graduate,Single,Android,"40,000 - 90,000",Rarely,Easy of use,5,7,From the bank itself,ATM,4,4,Yes,No,I didn't face such situation,5,5
12/6/2020 22:39:33,20 - 30,Male,Southern Province,Government,Diploma,Single,Android,"40,000 - 90,000",Everyday,"Reduce time for transaction, Easy of use",5,8,From the bank itself,ATM,4,5,Yes,No,I didn't face such situation,5,4
12/6/2020 22:49:28,20 - 30,Male,Southern Province,Private,Diploma,Single,Android,"40,000 - 90,000","3,4 Times a week","Reduce time for transaction, Cost effective, Easy of use",5,9,From the bank itself,Online Banking,5,4,Yes,No,I didn't face such situation,4,4
12/6/2020 23:07:44,20 - 30,Male,Southern Province,Private,Graduate,Single,iOS,"40,000 - 90,000",Rarely,"Reduce time for transaction, Easy of use",3,10,Friend or family,ATM,3,3,Yes,No,I didn't face such situation,2,2
12/6/2020 23:29:04,20 - 30,Male,Southern Province,Private,Diploma,Single,Android,"40,000 - 90,000",Everyday,"Reduce time for transaction, Cost effective, Easy of use",5,5,From the bank itself,Online Banking,5,5,Yes,Yes,I didn't face such situation,4,4
12/7/2020 0:08:19,20 - 30,Male,Southern Province,Private,Diploma,Single,Android,"40,000 - 90,000",Once a week,"Reduce time for transaction, Easy of use",5,9,Friend or family,ATM,5,3,Yes,No,I didn't face such situation,5,5
12/7/2020 1:08:41,20 - 30,Male,Southern Province,Private,Graduate,Single,iOS,"40,000 - 90,000",Twice a week,"Reduce time for transaction, Cost effective, Easy of use",5,9,Social media,Online Banking,5,5,Yes,No,I didn't face such situation,5,5
12/7/2020 6:15:53,20 - 30,Male,Southern Province,Government,Graduate,Single,iOS,"40,000 - 90,000",Once a week,"Reduce time for transaction, Easy of use",4,7,From the bank itself,ATM,4,5,Yes,No,Yes,5,5
12/7/2020 10:04:52,30 - 40,Male,Southern Province,Chess Coach,AL,Single,Android,"40,000 - 90,000",Once a week,"Reduce time for transaction, Cost effective, Easy of use, can pay exact amount ",5,7,TV / Radio / Newspaper,At Bank,4,3,Yes,No,I didn't face such situation,4,5
12/7/2020 9:36:48,40 - 50,Male,Uva Province,Self-Employed,Diploma,Married,Android,"40,000 - 90,000",Once a week,Reduce time for transaction,4,7,From the bank itself,At Bank,4,4,Maybe,Yes,Yes,4,4
12/6/2020 22:58:05,20 - 30,Male,Western Province,Private,Graduate,Single,Android,"40,000 - 90,000",Once a month,Easy of use,4,8,Social media,ATM,4,4,Yes,Yes,Yes,4,4
12/6/2020 23:55:34,20 - 30,Male,Western Province,Self-Employed,Diploma,Single,Android,"40,000 - 90,000",Rarely,Easy of use,3,6,From the bank itself,At Bank,3,3,Yes,No,I didn't face such situation,3,3
12/7/2020 0:01:01,20 - 30,Male,Western Province,Private,Graduate,Single,Android,"40,000 - 90,000",Twice a month,Easy of use,2,2,From the bank itself,ATM,1,2,Maybe,No,I didn't face such situation,3,3
12/7/2020 6:55:10,20 - 30,Male,Western Province,Private,Graduate,Single,iOS,"40,000 - 90,000",Everyday,Reduce time for transaction,4,7,From the bank itself,At Bank,4,4,Maybe,No,I didn't face such situation,4,2
12/7/2020 8:53:51,30 - 40,Male,Western Province,Private,Graduate,Single,iOS,"40,000 - 90,000",Once a month,Cost effective,3,7,From the bank itself,ATM,3,3,Maybe,Yes,Yes,3,3
12/7/2020 9:03:16,40 - 50,Male,Western Province,Government,Diploma,Married,Android,"40,000 - 90,000",Twice a month,Easy of use,4,7,From the bank itself,At Bank,4,4,Yes,No,I didn't face such situation,4,4
12/6/2020 20:21:54,20 - 30,Male,Central Province,Private,Graduate,Married,Android,"90,000 - 140,000",Rarely,Easy of use,3,7,Social media,ATM,3,3,Maybe,No,I didn't face such situation,4,4
12/7/2020 7:05:07,20 - 30,Male,Central Province,Private,Graduate,Single,iOS,"90,000 - 140,000",Often,"Reduce time for transaction, Easy of use",4,10,From the bank itself,ATM,4,5,Yes,No,I didn't face such situation,5,5
12/7/2020 7:12:03,20 - 30,Male,Central Province,Private,Graduate,Single,Android,"90,000 - 140,000",Everyday,"Cost effective, Easy of use",5,6,From the bank itself,Online Banking,3,3,Maybe,No,I didn't face such situation,4,4
12/7/2020 9:53:08,20 - 30,Male,Central Province,Private,Graduate,Single,iOS,"90,000 - 140,000",Once a month,Easy of use,3,3,Social media,Online Banking,3,3,Yes,No,No,4,3
12/6/2020 22:35:23,20 - 30,Male,North Western Province,Private,Graduate,Single,Android,"90,000 - 140,000",Rarely,"Reduce time for transaction, Easy of use",4,7,From the bank itself,ATM,4,4,Yes,Yes,Yes,4,4
12/7/2020 9:19:37,20 - 30,Male,North Western Province,Private,Graduate,Single,Android,"90,000 - 140,000",Twice a week,"Reduce time for transaction, Cost effective, Easy of use",5,10,Friend or family,ATM,5,4,Yes,Yes,Yes,4,3
12/7/2020 0:28:28,20 - 30,Male,Sabaragamuwa Province,Private,Graduate,Single,Android,"90,000 - 140,000",Rarely,Cost effective,1,0,TV / Radio / Newspaper,ATM,1,1,No,No,I didn't face such situation,1,1
12/6/2020 22:32:14,20 - 30,Male,Southern Province,Private,Graduate,Single,Android,"90,000 - 140,000",Twice a week,"Reduce time for transaction, Easy of use",5,5,From the bank itself,ATM,4,4,Yes,No,I didn't face such situation,4,4
12/6/2020 23:25:44,20 - 30,Male,Southern Province,Private,Graduate,Single,iOS,"90,000 - 140,000",Twice a week,Easy of use,5,10,Friend or family,Online Banking,4,5,Yes,No,I didn't face such situation,4,4
12/6/2020 23:41:41,20 - 30,Male,Southern Province,Private,Graduate,Married,Android,"90,000 - 140,000",Everyday,"Reduce time for transaction, Cost effective, Easy of use",4,7,From the bank itself,ATM,4,3,Yes,No,I didn't face such situation,3,4
12/7/2020 13:07:25,20 - 30,Male,Southern Province,Private,Graduate,Married,Android,"90,000 - 140,000",Everyday,Reduce time for transaction,4,10,Work in fintec,ATM,5,5,Yes,No,Yes,5,5
12/7/2020 20:33:54,20 - 30,Male,Uva Province,Private,Graduate,Single,Android,"90,000 - 140,000",Everyday,"Reduce time for transaction, Easy of use",5,8,From the bank itself,ATM,5,5,Yes,No,I didn't face such situation,5,5
12/6/2020 22:41:33,20 - 30,Male,Western Province,Private,Graduate,Married,Android,"90,000 - 140,000",Everyday,"Reduce time for transaction, Cost effective, Easy of use",5,8,From the bank itself,ATM,4,4,Yes,No,I didn't face such situation,5,5
12/7/2020 1:10:27,20 - 30,Male,Western Province,Private,Graduate,Single,iOS,"90,000 - 140,000",Once a week,"Reduce time for transaction, Cost effective, Easy of use",5,9,Friend or family,ATM,4,3,Yes,No,I didn't face such situation,5,5
12/7/2020 8:52:56,20 - 30,Male,Western Province,Private,Graduate,Single,iOS,"90,000 - 140,000",Once a week,"Reduce time for transaction, Easy of use",4,8,Friend or family,Online Banking,4,3,Yes,No,I didn't face such situation,4,4
12/7/2020 9:08:00,20 - 30,Male,Western Province,Private,Graduate,Single,Android,"90,000 - 140,000",Once a week,"Reduce time for transaction, Easy of use",4,9,Blogs,ATM,4,2,Yes,No,I didn't face such situation,4,4
12/6/2020 22:37:11,20 - 30,Male,North Western Province,Private,Graduate,Single,Android,"above 240,000",Twice a week,"Reduce time for transaction, Cost effective, Easy of use",5,7,Social media,Online Banking,5,2,Yes,No,I didn't face such situation,5,5
12/6/2020 23:07:49,20 - 30,Male,Southern Province,Private,Graduate,Married,Android,"above 240,000",Twice a week,Easy of use,5,10,Friend or family,Online Banking,5,5,Yes,No,I didn't face such situation,5,5
12/7/2020 0:09:25,20 - 30,Male,Southern Province,Private,AL,Single,iOS,"above 240,000",Twice a week,Easy of use,5,8,From the bank itself,Online Banking,5,5,Yes,Yes,Yes,5,5
12/6/2020 22:40:45,20 - 30,Male,North Western Province,Unemployed,Graduate,Single,Android,"Below 40,000",Twice a week,"Reduce time for transaction, Easy of use",4,8,From the bank itself,ATM,3,4,Yes,Yes,Yes,3,3
12/6/2020 22:43:33,20 - 30,Male,Sabaragamuwa Province,Student,AL,Single,iOS,"Below 40,000",Twice a month,"Reduce time for transaction, Cost effective, Easy of use",4,9,Friend or family,Online Banking,4,4,Yes,No,I didn't face such situation,4,4
12/7/2020 9:34:31,20 - 30,Male,Sabaragamuwa Province,Student,AL,Single,iOS,"Below 40,000",Once a month,Easy of use,4,8,Friend or family,Online Banking,4,4,Yes,No,I didn't face such situation,4,4
12/6/2020 22:42:43,10 - 20,Male,Southern Province,Student,AL,Single,iOS,"Below 40,000",Twice a week,"Reduce time for transaction, Easy of use",4,9,TV / Radio / Newspaper,ATM,4,3,Yes,No,I didn't face such situation,5,5
12/6/2020 23:28:38,20 - 30,Male,Southern Province,Private,Diploma,Single,Android,"Below 40,000",Everyday,"Reduce time for transaction, Cost effective, Easy of use",5,10,From the bank itself,ATM,5,5,Yes,No,I didn't face such situation,5,5
12/6/2020 23:34:17,20 - 30,Male,Southern Province,Student,Undergraduate ,Single,Android,"Below 40,000",Rarely,Easy of use,3,6,Social media,ATM,4,3,Maybe,No,I didn't face such situation,3,5
12/7/2020 0:46:34,20 - 30,Male,Southern Province,Private,Graduate,Single,iOS,"Below 40,000",Twice a week,"Reduce time for transaction, Cost effective, Easy of use",4,8,From the bank itself,Online Banking,4,4,Yes,No,I didn't face such situation,4,4
12/7/2020 8:29:57,20 - 30,Male,Southern Province,Student,AL,Single,iOS,"Below 40,000",Once a month,Reduce time for transaction,3,8,Social media,Online Banking,4,4,Yes,No,I didn't face such situation,3,3
12/7/2020 11:19:18,20 - 30,Male,Southern Province,Student,Graduate,Single,Android,"Below 40,000",Twice a month,"Reduce time for transaction, Easy of use",4,8,Friend or family,ATM,4,3,Yes,No,Yes,5,4
12/11/2020 21:39:12,20 - 30,Male,Southern Province,Student,Graduate,Single,Android,"Below 40,000",Twice a month,Easy of use,4,8,From the bank itself,ATM,4,3,Yes,No,I didn't face such situation,3,3
12/6/2020 22:55:06,20 - 30,Male,Uva Province,Student,AL,Single,Android,"Below 40,000",Rarely,Easy of use,3,4,Friend or family,ATM,3,1,Maybe,No,I didn't face such situation,3,3
12/6/2020 22:39:24,20 - 30,Male,Western Province,Student,AL,Single,Android,"Below 40,000",Twice a week,"Reduce time for transaction, Cost effective, Easy of use",5,10,Friend or family,At Bank,3,5,Yes,No,I didn't face such situation,5,5
12/6/2020 22:40:23,20 - 30,Male,Western Province,Student,AL,Single,Android,"Below 40,000",Rarely,"Reduce time for transaction, Easy of use",4,8,From the bank itself,ATM,4,4,Yes,No,I didn't face such situation,4,4
12/6/2020 22:42:13,20 - 30,Male,Western Province,Student,Graduate,Single,Android,"Below 40,000",Rarely,"Reduce time for transaction, Cost effective, Easy of use",5,8,From the bank itself,Online Banking,4,4,Yes,No,I didn't face such situation,4,4
12/6/2020 22:42:55,20 - 30,Male,Western Province,Student,AL,Single,Android,"Below 40,000",When i want,"Reduce time for transaction, Cost effective, Easy of use",5,8,Friend or family,ATM,5,4,Yes,No,I didn't face such situation,4,4
12/6/2020 22:44:25,20 - 30,Male,Western Province,Student,AL,Single,Android,"Below 40,000",Everyday,Easy of use,4,7,TV / Radio / Newspaper,ATM,4,4,Yes,No,I didn't face such situation,4,5
12/7/2020 8:15:46,20 - 30,Male,Western Province,Student,AL,Single,Android,"Below 40,000",Rarely,Easy of use,4,9,Friend or family,ATM,4,4,Yes,No,I didn't face such situation,4,4
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,"Faced unautharized 
transaction","Not faced unautharized 
transaction",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Female,5,42,47,,,,,,,,,,,,,,,,
,,Male,11,59,70,,,,,,,,,,,,,,,,